ID,Source ip,Dest IP,Protocol,Source Port,Dest Port,Verdict,Delay
1, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.016
2, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.005
3, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.011
4, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.013
5, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.004
6, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.009
7, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.007
8, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.006
9, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.007
10, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.014
11, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.007
12, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.006
13, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.000
14, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.008
15, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.017
16, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.011
17, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.015
18, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.013
19, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.015
20, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.019
21, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.008
22, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.017
23, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.000
24, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.005
25, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.007
26, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.003
27, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.011
28, 192.168.32.192, 195.88.55.16, 6, 53406, 443, accepted, 0.005
29, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.008
30, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.012
31, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.006
32, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.001
33, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.010
34, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.005
35, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.003
36, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.017
37, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.011
38, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.017
39, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.000
40, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.010
41, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.016
42, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.007
43, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.007
44, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.012
45, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.017
46, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.006
47, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.009
48, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.017
49, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.010
50, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.006
51, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.017
52, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.003
53, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.023
54, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.013
55, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.010
56, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.015
57, 192.168.32.192, 195.88.55.16, 6, 53420, 443, accepted, 0.013
